objective,main_objective,grad_norm,infidelity,generalized_infidelity,tracking_objective,norm_objective,guard_penalty,ridge_penalty,avg_state_length,elapsed_time,alg_mod,iter_count,obj_value,inf_pr,inf_du,mu,d_norm,regularization_size,alpha_du,alpha_pr,ls_trials
0.998901312732299,0.9987946254080342,4.087451614595808,0.9987946275549147,0.9987946254080342,3.9362142783039866,1.999999995706239,0.00010659989375755038,8.743050726766705e-8,0.9999999989265598,53.60153388977051,0.0,0.0,0.998901312732299,0.0,0.7379591017343516,1.0,0.0,0.0,0.0,0.0,0.0
0.986315976160435,0.986159145962108,16.67612292265267,0.9861591468361113,0.986159145962108,3.9938782572773723,1.9999999982519934,0.00015674919091873977,8.100740827931388e-8,0.9999999995629983,104.36073803901672,0.0,1.0,0.986315976160435,0.0,2.3278363267223914,0.019309817542422707,0.019119063214351514,0.0,0.9940714622365748,0.25,3.0
0.9030101764275581,0.9027927551054724,25.472347569315506,0.9027927557844997,0.9027927551054724,4.136266034869557,1.9999999986419454,0.00021734028077014826,8.104131550119875e-8,0.9999999996604864,174.5223729610443,0.0,2.0,0.9030101764275581,0.0,5.97683456388466,0.060021556480119496,0.16341213392690979,0.0,1.0,0.0048180183502431325,7.0
0.9002933647755589,0.8999652806476018,56.895600065971294,0.8999652808842623,0.8999652806476018,4.156646219083326,1.999999999526679,0.00032800303990150186,8.108805551551966e-8,0.9999999998816697,211.32564496994019,0.0,3.0,0.9002933647755589,0.0,10.86283386904325,0.0018321489992716893,0.0012372850945055636,0.0,1.0,1.0,1.0
0.7795282951803865,0.7793968524267452,34.249304459073606,0.7793968527550454,0.7793968524267452,3.563612631165341,1.9999999993433994,0.00013136221370443736,8.053993687656125e-8,0.9999999998358499,248.03413605690002,0.0,4.0,0.7795282951803865,0.0,4.819323432035261,8.257975785047565e-5,0.0009576560149944828,0.0,1.0,1.0,1.0
0.7017277437558873,0.7016121088412774,41.859963032776946,0.7016121090135496,0.7016121088412774,4.125714817882073,1.9999999996554556,0.00011555661814585325,7.829646402683e-8,0.999999999913864,284.7528340816498,0.0,5.0,0.7017277437558873,0.0,6.639321194142674,4.6460762585237776e-6,0.0005982455312101272,0.0,1.0,1.0,1.0
0.6620580140036197,0.6619204354361792,84.71995377476073,0.6619204361981221,0.6619204354361792,5.531890600679577,1.999999998476114,0.0001374991243153185,7.944312532448127e-8,0.9999999996190285,321.69465708732605,0.0,6.0,0.6620580140036197,0.0,13.327495780741355,2.5481849859602654e-7,0.0024362272562168477,0.0,1.0,1.0,1.0
0.6401824620778528,0.6400534200225747,95.11591132901223,0.6400534203438311,0.6400534200225747,5.250625380668531,1.9999999993574873,0.00012896219369887247,7.986157922625974e-8,0.9999999998393719,358.73796010017395,0.0,7.0,0.6401824620778528,0.0,20.58116660332189,8.77113200189928e-9,0.001311943466364774,0.0,1.0,1.0,1.0
0.487722589333064,0.48760108040166206,39.00316548664422,0.4876010806821328,0.48760108040166206,5.2459875421222995,1.9999999994390585,0.00012142909921006922,7.983219186801463e-8,0.9999999998597646,395.7337598800659,0.0,8.0,0.487722589333064,0.0,6.631056376351922,4.96959023098477e-10,0.0010331792155241475,0.0,1.0,1.0,1.0
0.4244590667134534,0.4243351037973181,35.25484695260568,0.42433510392300244,0.4243351037973181,5.4676588212321295,1.9999999997486313,0.0001238810145432719,8.190159207039094e-8,0.9999999999371578,432.3480808734894,0.0,9.0,0.4244590667134534,0.0,6.0502585714438215,1.3868569797570249e-11,0.0005609574261867798,0.0,1.0,1.0,1.0
0.37884386372805995,0.3787174461271505,23.246040813626887,0.3787174462443028,0.3787174461271505,5.350961437390516,1.9999999997656954,0.00012633301482936553,8.458608008530187e-8,0.999999999941424,469.1283190250397,0.0,10.0,0.37884386372805995,0.0,5.39566457899153,1.0e-11,0.000812410758638921,0.0,1.0,1.0,1.0
0.34560236836874325,0.34549363608160466,50.83147633966249,0.3454936362031241,0.34549363608160466,3.7466044606408038,1.999999999756961,0.00010864428259439374,8.800454421865494e-8,0.9999999999392403,506.4973039627075,0.0,11.0,0.34560236836874325,0.0,9.199786298465384,1.0e-11,0.001790452659414376,0.0,1.0,1.0,1.0
0.29665706710959594,0.29655476685879756,32.2785425003325,0.29655476696202343,0.29655476685879756,3.2300341678309317,1.9999999997935483,0.00010221162823651511,8.862256184779952e-8,0.9999999999483871,552.4695250988007,0.0,12.0,0.29665706710959594,0.0,5.400738371478786,1.0e-11,0.001519232735658585,0.0,1.0,0.5,2.0
0.2536558027197087,0.25356085976612086,23.07388833809726,0.2535608598606859,0.25356085976612086,3.7111158750672493,1.99999999981087,9.485516307604903e-5,8.779051181273842e-8,0.9999999999527175,590.432226896286,0.0,13.0,0.2536558027197087,0.0,4.44161957760635,1.0e-11,0.0009317504295060615,0.0,1.0,1.0,1.0
0.22810809751842348,0.22801390830185164,25.827560446615838,0.2280139083621232,0.22801390830185164,3.3963249642552285,1.9999999998794569,9.409836728621292e-5,9.084928562172463e-8,0.9999999999698642,628.6559898853302,0.0,14.0,0.22810809751842348,0.0,5.694257049300275,1.0000000000000001e-11,0.00069556694020715,0.0,1.0,1.0,1.0
0.2007396700279841,0.20062229239135376,40.78156631743564,0.20062229244667995,0.20062229239135376,1.9700528239778023,1.9999999998893476,0.00011727552006480596,1.021165655369664e-7,0.9999999999723369,675.7948949337006,0.0,15.0,0.2007396700279841,0.0,7.4447647809021245,1.0000000000000001e-11,0.0034388593491990176,0.0,1.0,0.5,2.0
0.16964885047579123,0.16947730182241494,36.271660118638465,0.1694773018625948,0.16947730182241494,1.0040884895088755,1.9999999999196403,0.00017143381810416763,1.1483527212816122e-7,0.9999999999799101,726.2054810523987,0.0,16.0,0.16964885047579123,0.0,5.519740559642904,1.0e-11,0.0057584474783611865,0.0,1.0,0.25,3.0
0.14964249811289176,0.14943990679552854,22.240480883238163,0.14943990683470987,0.14943990679552854,0.5149269642047646,1.9999999999216374,0.0002024652026895516,1.2611467368942322e-7,0.9999999999804093,781.3949420452118,0.0,17.0,0.14964249811289176,0.0,4.442143724687615,1.0e-11,0.00872447303135436,0.0,1.0,0.125,4.0
0.13575494762499696,0.1354816521850034,19.59142829141599,0.13548165222438013,0.1354816521850034,0.2814060057191792,1.9999999999212466,0.0002731552671600379,1.401728335161918e-7,0.9999999999803117,828.324630022049,0.0,18.0,0.13575494762499696,0.0,3.372182031177767,1.0e-11,0.0030828425017962358,0.0,1.0,0.5,2.0
0.12402701118853962,0.1238784279365801,22.585402760646755,0.1238784279587446,0.1238784279365801,0.4072281692413678,1.999999999955671,0.00014845767490115114,1.25577058368573e-7,0.9999999999889178,865.1741390228271,0.0,19.0,0.12402701118853962,0.0,3.247075412393353,1.0e-11,0.0016358964349109059,0.0,1.0,1.0,1.0
0.1232440584428863,0.12310163480787184,29.300037185364666,0.12310163483194858,0.12310163480787184,0.6974937062859439,1.9999999999518465,0.00014230355392856194,1.2008108589816212e-7,0.9999999999879616,910.3992049694061,0.0,20.0,0.1232440584428863,0.0,5.045244228747221,1.0e-11,0.0020941863748558643,0.0,1.0,0.5,2.0
